Year,Car,Count_wins
1950,Alfa Romeo,6
1950,Kurtis Kraft Offenhauser,1
1951,Alfa Romeo,4
1951,Ferrari,3
1951,Kurtis Kraft Offenhauser,1
1952,Ferrari,7
1952,Kuzma Offenhauser,1
1953,Ferrari,7
1953,Kurtis Kraft Offenhauser,1
1953,Maserati,1
1954,Ferrari,2
1954,Kurtis Kraft Offenhauser,1
1954,Maserati,2
1954,Mercedes-Benz,4
1955,Ferrari,1
1955,Kurtis Kraft Offenhauser,1
1955,Mercedes-Benz,5
1956,Ferrari,5
1956,Maserati,2
1956,Watson Offenhauser,1
1957,Epperly Offenhauser,1
1957,Maserati,4
1957,Vanwall,3
1958,Cooper Climax,2
1958,Epperly Offenhauser,1
1958,Ferrari,2
1958,Vanwall,6
1959,BRM,1
1959,Cooper Climax,5
1959,Ferrari,2
1959,Watson Offenhauser,1
1960,Cooper Climax,6
1960,Ferrari,1
1960,Lotus Climax,2
1960,Watson Offenhauser,1
1961,Ferrari,5
1961,Lotus Climax,3
1962,BRM,4
1962,Cooper Climax,1
1962,Lotus Climax,3
1962,Porsche,1
1963,BRM,2
1963,Ferrari,1
1963,Lotus Climax,7
1964,BRM,2
1964,Brabham Climax,2
1964,Ferrari,3
1964,Lotus Climax,3
1965,BRM,3
1965,Honda,1
1965,Lotus Climax,6
1966,BRM,1
1966,Brabham Repco,4
1966,Cooper Maserati,1
1966,Ferrari,2
1966,Lotus BRM,1
1967,Brabham Repco,4
1967,Cooper Maserati,1
1967,Eagle Weslake,1
1967,Honda,1
1967,Lotus Ford,4
1968,Ferrari,1
1968,Lotus Ford,5
1968,Matra Ford,3
1968,McLaren Ford,3
1969,Brabham Ford,2
1969,Lotus Ford,2
1969,Matra Ford,6
1969,McLaren Ford,1
1970,BRM,1
1970,Brabham Ford,1
1970,Ferrari,4
1970,Lotus Ford,6
1970,March Ford,1
1971,BRM,2
1971,Ferrari,2
1971,Tyrrell Ford,7
1972,BRM,1
1972,Ferrari,1
1972,Lotus Ford,5
1972,McLaren Ford,1
1972,Tyrrell Ford,4
1973,Lotus Ford,7
1973,McLaren Ford,3
1973,Tyrrell Ford,5
1974,Brabham Ford,3
1974,Ferrari,3
1974,Lotus Ford,3
1974,McLaren Ford,4
1974,Tyrrell Ford,2
1975,Brabham Ford,2
1975,Ferrari,6
1975,Hesketh Ford,1
1975,March Ford,1
1975,McLaren Ford,3
1975,Tyrrell Ford,1
1976,Ferrari,6
1976,Lotus Ford,1
1976,March Ford,1
1976,McLaren Ford,6
1976,Penske Ford,1
1976,Tyrrell Ford,1
1977,Ferrari,4
1977,Ligier Matra,1
1977,Lotus Ford,5
1977,McLaren Ford,3
1977,Shadow Ford,1
1977,Wolf Ford,3
1978,Brabham Alfa Romeo,2
1978,Ferrari,5
1978,Lotus Ford,8
1978,Tyrrell Ford,1
1979,Ferrari,6
1979,Ligier Ford,3
1979,Renault,1
1979,Williams Ford,5
1980,Brabham Ford,3
1980,Ligier Ford,2
1980,Renault,3
1980,Williams Ford,6
1981,Brabham Ford,3
1981,Ferrari,2
1981,Ligier Matra,2
1981,McLaren Ford,1
1981,Renault,3
1981,Williams Ford,4
1982,Brabham BMW,1
1982,Brabham Ford,1
1982,Ferrari,3
1982,Lotus Ford,1
1982,McLaren Ford,4
1982,Renault,4
1982,Tyrrell Ford,1
1982,Williams Ford,1
1983,Brabham BMW,4
1983,Ferrari,4
1983,McLaren Ford,1
1983,Renault,4
1983,Tyrrell Ford,1
1983,Williams Ford,1
1984,Brabham BMW,2
1984,Ferrari,1
1984,McLaren TAG,12
1984,Williams Honda,1
1985,Brabham BMW,1
1985,Ferrari,2
1985,Lotus Renault,3
1985,McLaren TAG,6
1985,Williams Honda,4
1986,Benetton BMW,1
1986,Lotus Renault,2
1986,McLaren TAG,4
1986,Williams Honda,9
1987,Ferrari,2
1987,Lotus Honda,2
1987,McLaren TAG,3
1987,Williams Honda,9
1988,Ferrari,1
1988,McLaren Honda,15
1989,Benetton Ford,1
1989,Ferrari,3
1989,McLaren Honda,10
1989,Williams Renault,2
1990,Benetton Ford,2
1990,Ferrari,6
1990,McLaren Honda,6
1990,Williams Renault,2
1991,Benetton Ford,1
1991,McLaren Honda,8
1991,Williams Renault,7
1992,Benetton Ford,1
1992,McLaren Honda,5
1992,Williams Renault,10
1993,Benetton Ford,1
1993,McLaren Ford,5
1993,Williams Renault,10
1994,Benetton Ford,8
1994,Ferrari,1
1994,Williams Renault,7
1995,Benetton Renault,11
1995,Ferrari,1
1995,Williams Renault,5
1996,Ferrari,3
1996,Ligier Mugen Honda,1
1996,Williams Renault,12
1997,Benetton Renault,1
1997,Ferrari,5
1997,McLaren Mercedes,3
1997,Williams Renault,8
1998,Ferrari,6
1998,Jordan Mugen Honda,1
1998,McLaren Mercedes,9
1999,Ferrari,6
1999,Jordan Mugen Honda,2
1999,McLaren Mercedes,7
1999,Stewart Ford,1
2000,Ferrari,10
2000,McLaren Mercedes,7
2001,Ferrari,9
2001,McLaren Mercedes,4
2001,Williams BMW,4
2002,Ferrari,15
2002,McLaren Mercedes,1
2002,Williams BMW,1
2003,Ferrari,8
2003,Jordan Ford,1
2003,McLaren Mercedes,2
2003,Renault,1
2003,Williams BMW,4
2004,Ferrari,15
2004,McLaren Mercedes,1
2004,Renault,1
2004,Williams BMW,1
2005,Ferrari,1
2005,McLaren Mercedes,10
2005,Renault,8
2006,Ferrari,9
2006,Honda,1
2006,Renault,8
2007,Ferrari,9
2007,McLaren Mercedes,8
2008,Ferrari,8
2008,McLaren Mercedes,6
2008,Renault,2
2008,STR Ferrari,1
2008,Sauber BMW,1
2009,Brawn Mercedes,8
2009,Ferrari,1
2009,McLaren Mercedes,2
2009,RBR Renault,6
2010,Ferrari,5
2010,McLaren Mercedes,5
2010,RBR Renault,9
2011,Ferrari,1
2011,McLaren Mercedes,6
2011,Red Bull Racing Renault,12
2012,Ferrari,3
2012,Lotus Renault,1
2012,McLaren Mercedes,7
2012,Mercedes,1
2012,Red Bull Racing Renault,7
2012,Williams Renault,1
2013,Ferrari,2
2013,Lotus Renault,1
2013,Mercedes,3
2013,Red Bull Racing Renault,13
2014,Mercedes,16
2014,Red Bull Racing Renault,3
2015,Ferrari,3
2015,Mercedes,16
2016,Mercedes,19
2016,Red Bull Racing TAG Heuer,2
2017,Ferrari,5
2017,Mercedes,12
2017,Red Bull Racing TAG Heuer,3
2018,Ferrari,6
2018,Mercedes,11
2018,Red Bull Racing TAG Heuer,4
2019,Ferrari,3
2019,Mercedes,15
2019,Red Bull Racing Honda,3
2020,AlphaTauri Honda,1
2020,Mercedes,13
2020,Racing Point BWT Mercedes,1
2020,Red Bull Racing Honda,2
2021,Alpine Renault,1
2021,McLaren Mercedes,1
2021,Mercedes,9
2021,Red Bull Racing Honda,11
2022,Ferrari,4
2022,Mercedes,1
2022,Red Bull Racing RBPT,17
2023,Ferrari,1
2023,Red Bull Racing Honda RBPT,21
2024,Ferrari,1
2024,McLaren Mercedes,1
2024,Red Bull Racing Honda RBPT,4
