Nationality,Latitude,Longitude,Pilots_count
ARG,-38.416097,-63.616672,9
AUS,-25.274398,133.775136,6
AUT,47.516231,14.550072,7
BEL,50.503887,4.469936,9
BRA,-14.235004,-51.92528,24
CAN,56.130366,-106.346771,5
CHI,-35.675147,-71.542969,1
CHN,35.86166,104.195397,1
COL,4.570868,-74.297333,1
DEN,56.26392,9.501785,3
DEU,51.165691,10.451526,22
ESP,40.463667,-3.74922,9
FIN,61.92411,25.748151,8
FRA,46.603354,1.888334,40
GBR,55.378051,-3.435973,71
HUN,47.162494,19.503304,1
INA,-0.789275,113.921327,1
IND,20.593684,78.96288,2
IRL,53.41291,-8.24389,2
ITA,41.87194,12.56738,51
JPN,36.204824,138.252924,11
MAS,4.210484,101.975766,1
MEX,23.634501,-102.552784,6
MON,43.750298,7.412841,3
NED,52.132633,5.291266,8
NZL,-40.900557,174.885971,6
POL,51.919438,19.145136,1
POR,39.399872,-8.224454,3
RUS,61.52401,105.318756,4
SUI,46.818188,8.227512,7
SWE,60.128161,18.643501,7
THA,15.870032,100.992541,2
USA,37.09024,-95.712891,56
VEN,6.42375,-66.58973,2
ZAF,-30.559482,22.937506,8
